   31.557105263157897     
   243.16000000000000     
   1.0349027919531295        1.7696383779528649E-005
         501           1
 
   6.0000000000000000        6.0000000000000000     
   2.5000000000000001E-003   1.2500000000000000     
   (1.43548172600565384E-011,7.24665739419118148E-015)   (1.43558105674793841E-011,7.24765717575763033E-015)
   (1.43548161863766655E-011,7.24665684663770588E-015)   (1.42771667113332981E-018,7.20795312808591534E-022)   (1.42771667113332943E-018,7.20795312808591345E-022) (-1.43558094937382950E-011,-7.24765662814195936E-015)
   5.2495000000000000E-002   1.2500000000000000     
   (1.32902269743137928E-007,6.70947603514216401E-011)   (1.32911466170951804E-007,6.71040171587472607E-011)
   (1.32897886862205782E-007,6.70925251762011688E-011)   (1.32179002751039052E-014,6.67341904830697011E-018)   (1.32179002751039021E-014,6.67341904830696857E-018) (-1.32907083040083343E-007,-6.71017817296255357E-011)
  0.10249000000000000        1.2500000000000000     
   (9.89067152794596784E-007,4.99438944438118791E-010)   (9.89135597343569313E-007,4.99507852711811965E-010)
   (9.88942826247509904E-007,4.99375540472131503E-010)   (9.83593347533244033E-014,4.96708429014622455E-017)   (9.83593347533243781E-014,4.96708429014622332E-017) (-9.89011263706341267E-007,-4.99444441543385033E-010)
  0.15248500000000001        1.2500000000000000     
   (3.25737001607109191E-006,1.64583750451659020E-009)   (3.25759544063754595E-006,1.64606459731705128E-009)
   (3.25646372093262073E-006,1.64537531155226641E-009)   (3.23884858761995711E-013,1.63658756526387977E-016)   (3.23884858761995610E-013,1.63658756526387928E-016) (-3.25668909381378968E-006,-1.64560235184680429E-009)
  0.20247999999999999        1.2500000000000000     
   (7.62672836813944932E-006,3.85799968044655670E-009)   (7.62725621000448164E-006,3.85853205487051032E-009)
   (7.62298714527200765E-006,3.85609172245152167E-009)   (7.58175233216538785E-013,3.83549690340005900E-016)   (7.58175233216538280E-013,3.83549690340005802E-016) (-7.62351477376377814E-006,-3.85662388011189001E-009)
  0.25247500000000000        1.2500000000000000     
   (1.47861447532072171E-005,7.49377836799115892E-009)   (1.47871682133156327E-005,7.49481257249882719E-009)
   (1.47748687571394401E-005,7.48802777967804629E-009)   (1.46949476926802262E-012,7.44803555162355704E-016)   (1.46949476926802141E-012,7.44803555162355507E-016) (-1.47758915740905347E-005,-7.48906133080049671E-009)
  0.30247000000000002        1.2500000000000000     
   (2.54247287663190394E-005,1.29216520044653688E-008)   (2.54264888238363792E-005,1.29234355698050316E-008)
   (2.53969043605916513E-005,1.29074618874978543E-008)   (2.52595264152682797E-012,1.28385259157236414E-015)   (2.52595264152682636E-012,1.28385259157236394E-015) (-2.53986628308709291E-005,-1.29092438403489835E-008)
  0.35246499999999997        1.2500000000000000     
   (4.02317362062636983E-005,2.05264468159577911E-008)   (4.02345217561070502E-005,2.05292805961927803E-008)
   (4.01719588153189895E-005,2.04959608102033070E-008)   (3.99546599278350251E-012,2.03864972485930997E-015)   (3.99546599278349847E-012,2.03864972485930799E-015) (-4.01747409548042385E-005,-2.04987911256393581E-008)
  0.40245999999999998        1.2500000000000000     
   (5.98965757636358147E-005,3.07162921176686216E-008)   (5.99007235824622640E-005,3.07205336981738891E-008)
   (5.97805633699528412E-005,3.06571260821208186E-008)   (5.94571986906985471E-012,3.04933961459291901E-015)   (5.94571986906984905E-012,3.04933961459291546E-015) (-5.97847045690373452E-005,-3.06613609370682892E-008)
  0.45245499999999994        1.2500000000000000     
   (8.51088647173366608E-005,4.39307861253539835E-008)   (8.51147597357571463E-005,4.39368542604047664E-008)
   (8.49005630161431778E-005,4.38245513737425242E-008)   (8.44413217702055215E-012,4.35905013268423460E-015)   (8.44413217702054569E-012,4.35905013268422592E-015) (-8.49064461468444879E-005,-4.38306074299339602E-008)
  0.50244999999999995        1.2500000000000000     
   (1.16558408523805175E-004,6.06503866559858053E-008)   (1.16566483499887745E-004,6.06587674793390047E-008)
   (1.16206689062793185E-004,6.04710051947571648E-008)   (1.15578111140370303E-011,6.01480577781326296E-015)   (1.15578111140369947E-011,6.01480577781323850E-015) (-1.16214743962352168E-004,-6.04793656161791557E-008)
  0.55244499999999985        1.2500000000000000     
   (1.54935306145060291E-004,8.14069731099519476E-008)   (1.54946042703668445E-004,8.14182276233465123E-008)
   (1.54370258674208465E-004,8.11187854026792258E-008)   (1.53535254210086590E-011,8.06855757929446169E-015)   (1.53535254210085943E-011,8.06855757929440647E-015) (-1.54380962973690259E-004,-8.11300071269239281E-008)
  0.60243999999999998        1.2500000000000000     
   (2.00929857322748031E-004,1.06795562422335655E-007)   (2.00943784942552529E-004,1.06810335774021803E-007)
