   99.930833333333339     
   243.16000000000000     
   1.0348945062193351        7.3510512549595683E-006
         501           1
 
   45.000000000000000        45.000000000000000     
   2.5000000000000001E-003   1.2500000000000000     
   (1.42673516538310619E-012,2.98338446047683867E-016)   (1.43126599639247000E-012,3.00233258535558521E-016)
   (1.42673515183562532E-012,2.98338443186790406E-016)   (1.01205778050989011E-019,2.12296949700257648E-023)   (1.01205778050989456E-019,2.12296949700257648E-023) (-1.43126598281155920E-012,-3.00233255660582907E-016)
   5.2495000000000000E-002   1.2500000000000000     
   (1.32092222595595823E-008,2.76213144798505113E-012)   (1.32511701275929042E-008,2.77967435764616849E-012)
   (1.32091669567226032E-008,2.76211976938938115E-012)   (9.36995213352086445E-016,1.96551810031021350E-019)   (9.36995213352086248E-016,1.96551810031021302E-019) (-1.32511146882918002E-008,-2.77966262156807307E-012)
  0.10249000000000000        1.2500000000000000     
   (9.83033192256022981E-008,2.05562063043545716E-011)   (9.86154971263002518E-008,2.06867640640639216E-011)
   (9.83017504405521148E-008,2.05558750155762195E-011)   (6.97305682779268389E-015,1.46275145147143995E-018)   (6.97305682779268232E-015,1.46275145147143975E-018) (-9.86139244701288831E-008,-2.06864311446741376E-011)
  0.15248500000000001        1.2500000000000000     
   (3.23746823201565771E-007,6.77018228270246126E-011)   (3.24774936568496248E-007,6.81318150324216631E-011)
   (3.23735386817626773E-007,6.76994077435807732E-011)   (2.29642434385407339E-014,4.81747492274009679E-018)   (2.29642434385407308E-014,4.81747492274009602E-018) (-3.24763471964136942E-007,-6.81293880618305718E-011)
  0.20247999999999999        1.2500000000000000     
   (7.58003394702524906E-007,1.58527431047441798E-010)   (7.60410567032908881E-007,1.59534291913037119E-010)
   (7.57956181898870685E-007,1.58517460859460683E-010)   (5.37657964651699770E-014,1.12800690928053843E-017)   (5.37657964651699644E-014,1.12800690928053828E-017) (-7.60363237726889692E-007,-1.59524272650722327E-010)
  0.25247500000000000        1.2500000000000000     
   (1.46953754840920534E-006,3.07380741198132152E-010)   (1.47420437440107200E-006,3.09333033567775007E-010)
   (1.46939523824316595E-006,3.07350688761712485E-010)   (1.04231898001053982E-013,2.18710130844229742E-017)   (1.04231898001053956E-013,2.18710130844229712E-017) (-1.47406171306359896E-006,-3.09302833209680496E-010)
  0.30247000000000002        1.2500000000000000     
   (2.52681483727758416E-006,5.28642819700093360E-010)   (2.53483943075219739E-006,5.32000487523872405E-010)
   (2.52646364145114627E-006,5.28568655666554102E-010)   (1.79215315204351738E-013,3.76128468834625068E-017)   (1.79215315204351713E-013,3.76128468834625007E-017) (-2.53448736831347415E-006,-5.31925958442993629E-010)
  0.35246499999999997        1.2500000000000000     
   (3.99830219768737034E-006,8.36746042722253226E-010)   (4.01100008078358730E-006,8.42060665898134667E-010)
   (3.99754760875968708E-006,8.36586691735871440E-010)   (2.83567045304125789E-013,5.95313631125642775E-017)   (2.83567045304125739E-013,5.95313631125642775E-017) (-4.01024362977722973E-006,-8.41900530547172160E-010)
  0.40245999999999998        1.2500000000000000     
   (5.95246818820275214E-006,1.24619592086377686E-009)   (5.97137220186936875E-006,1.25411132398608123E-009)
   (5.95100353236895905E-006,1.24588662061989883E-009)   (4.22135965906575734E-013,8.86570974140160348E-017)   (4.22135965906575633E-013,8.86570974140160225E-017) (-5.96990393168966712E-006,-1.25380050127702822E-009)
  0.45245499999999994        1.2500000000000000     
   (8.45778382072808910E-006,1.77159715855862675E-009)   (8.48464507377013206E-006,1.78284991545520084E-009)
   (8.45515361731713226E-006,1.77104172207147483E-009)   (5.99768599256130347E-013,1.26027085900239147E-016)   (5.99768599256130246E-013,1.26027085900239073E-016) (-8.48200837966357352E-006,-1.78229174490357956E-009)
  0.50244999999999995        1.2500000000000000     
   (1.15827208906786287E-005,2.42768302506417864E-009)   (1.16195068061551889E-005,2.44310338628044793E-009)
   (1.15782790199399906E-005,2.42674500642747934E-009)   (8.21308421092599281E-013,1.72686894069469777E-016)   (8.21308421092599079E-013,1.72686894069469703E-016) (-1.16150539739203714E-005,-2.44216075033993029E-009)
  0.55244499999999985        1.2500000000000000     
   (1.53957555609886837E-005,3.22934928895960258E-009)   (1.54446534959021368E-005,3.24986231448057799E-009)
   (1.53886182428499631E-005,3.22784205339723297E-009)   (1.09159614051305436E-012,2.29692953066576618E-016)   (1.09159614051305416E-012,2.29692953066576470E-016) (-1.54374985642647438E-005,-3.24834765958920409E-009)
  0.60243999999999998        1.2500000000000000     
   (1.99653645717204547E-005,4.19169173396139782E-009)   (2.00287766858190008E-005,4.21831823718533101E-009)
