   8.5655000000000001     
   243.16000000000000     
   1.0348951153463419        4.4036365072500215E-005
         501           1
 
   90.000000000000000        90.000000000000000     
   2.5000000000000001E-003   1.2500000000000000     
   (1.93581175110709341E-010,2.41711694565570251E-013)   (1.94814593505572486E-010,2.44801688041836917E-013)
   (1.93580869923013386E-010,2.41711309625183952E-013) (-1.19289348666075019E-033,-1.49897569647415093E-036)   (1.19289348666075019E-033,1.49897569647415093E-036) (-1.94814286867819637E-010,-2.44801299447957481E-013)
   5.2495000000000000E-002   1.2500000000000000     
   (1.79229641873621193E-006,2.23955549858567034E-009)   (1.80371770878253949E-006,2.26818935461957625E-009)
   (1.79105089030282173E-006,2.23798447158521598E-009) (-1.10370163379108475E-029,-1.38791802403768904E-032)   (1.10370163379108363E-029,1.38791802403768575E-032) (-1.80246626187198506E-006,-2.26660341546258837E-009)
  0.10249000000000000        1.2500000000000000     
   (1.33394141997863711E-005,1.67447095954871396E-008)   (1.34244493342239227E-005,1.69588844991412255E-008)
   (1.33041055502496014E-005,1.67001724712191185E-008) (-8.19864683855763492E-029,-1.03574640257486700E-031)   (8.19864683855709682E-029,1.03574640257473037E-031) (-1.33889728630860564E-005,-1.69139245189391133E-008)
  0.15248500000000001        1.2500000000000000     
   (4.39372604934637777E-005,5.58139794900293281E-008)   (4.42175138736727538E-005,5.65284737002370588E-008)
   (4.36801429387621672E-005,5.54896423438010723E-008) (-2.69191634764729788E-028,-3.44181170978822050E-031)   (2.69191634764523248E-028,3.44181170978324195E-031) (-4.39591737109513279E-005,-5.62010557983995207E-008)
  0.20247999999999999        1.2500000000000000     
   (1.02891578038627463E-004,1.33656188438581626E-007)   (1.03548426934705340E-004,1.35370086835129138E-007)
   (1.01831733525524997E-004,1.32319108760497576E-007) (-6.27610348343216805E-028,-8.20839516085738384E-031)   (6.27610348340615457E-028,8.20839516079290835E-031) (-1.02483539749927873E-004,-1.34020299124894271E-007)
  0.25247500000000000        1.2500000000000000     
   (1.99522680147794061E-004,2.68468922399487977E-007)   (2.00797786070507441E-004,2.71922865051789797E-007)
   (1.96334287091584088E-004,2.64445563638995475E-007) (-1.21015515565891341E-027,-1.64078498877006741E-030)   (1.21015515564094593E-027,1.64078498872313827E-030) (-1.97594211025639392E-004,-2.67861236879131791E-007)
  0.30247000000000002        1.2500000000000000     
   (3.43169470435748130E-004,4.85234774009352902E-007)   (3.45365514502836153E-004,4.91513845050663592E-007)
   (3.35319767118569994E-004,4.75324982141115812E-007) (-2.06704882731115199E-027,-2.94989727779265406E-030)   (2.06704882722004975E-027,2.94989727755485056E-030) (-3.37478398846551486E-004,-4.81509699468486189E-007)
  0.35246499999999997        1.2500000000000000     
   (5.43193103062400494E-004,8.19148181199163484E-007)   (5.46674601767531670E-004,8.29848086879694672E-007)
   (5.26374225414472162E-004,7.97898347881363143E-007) (-3.24520209467712428E-027,-4.95322824156954852E-030)   (3.24520209430738453E-027,4.95322824063104429E-030) (-5.29775474217013113E-004,-8.08395682315948232E-007)
  0.40245999999999998        1.2500000000000000     
   (8.08979703099860052E-004,1.31956571106778070E-006)   (8.14174219690951169E-004,1.33704280206131853E-006)
   (7.76439534402689280E-004,1.27839759647444780E-006) (-4.78761870846472916E-027,-7.93884932643713736E-030)   (4.78761870724862271E-027,7.93884932333599519E-030) (-7.81478584726191024E-004,-1.29548166060354898E-006)
  0.45245499999999994        1.2500000000000000     
   (1.14994252485598413E-003,2.05435448317588378E-006)   (1.15734198557915181E-003,2.08208530875111579E-006)
   (1.09172060900761194E-003,1.98053798412768859E-006) (-6.73283198413569550E-027,-1.23042428116773260E-029)   (6.73283198068813644E-027,1.23042428028448787E-029) (-1.09884149158989437E-003,-2.00756282281175411E-006)
  0.50244999999999995        1.2500000000000000     
   (1.57552358914571150E-003,3.11450098669675742E-006)   (1.58568546042246261E-003,3.15757825633041480E-006)
   (1.47759901219026053E-003,2.98994560309144429E-006) (-9.11437851649281069E-027,-1.85843344136932537E-029)   (9.11437850764720422E-027,1.85843343910616809E-029) (-1.48729155845705205E-003,-3.03182900870718411E-006)
  0.55244499999999985        1.2500000000000000     
   (2.09519361337196864E-003,4.61883276448636673E-006)   (2.10874290973890599E-003,4.68463112792967790E-006)
   (1.93855257597271035E-003,4.41865235377188757E-006) (-1.19603140553036572E-026,-2.74802033775312147E-029)   (1.19603140347107353E-026,2.74802033246447982E-029) (-1.95134972786482810E-003,-4.48252679224613471E-006)
  0.60243999999999998        1.2500000000000000     
   (2.71845228688029263E-003,6.71869601856855085E-006)   (2.73608337377179937E-003,6.81774569864828718E-006)
