   3.1892819148936171     
   243.16000000000000     
   1.0348740785572970        8.7965813797814607E-005
         501           1
 
   47.000000000000000        47.000000000000000     
   2.5000000000000001E-003   1.2500000000000000     
   (1.39961371682287135E-009,3.50347646941945580E-012)   (1.40436669781447960E-009,3.52727690491334431E-012)
   (1.39960046933795073E-009,3.50344298056634872E-012)   (9.57766628077614576E-017,2.40557387142608654E-019)   (9.57766628077614576E-017,2.40557387142608654E-019) (-1.40435341549011654E-009,-3.52724324036754001E-012)
   5.2495000000000000E-002   1.2500000000000000     
   (1.29608828575937106E-005,3.26699415204875435E-008)   (1.30049450822761722E-005,3.28921412774453602E-008)
   (1.29068811194979832E-005,3.25334198708458976E-008)   (8.83244409164953075E-013,2.23388892095561771E-015)   (8.83244409164797474E-013,2.23388892095482885E-015) (-1.29508012110723798E-005,-3.27549027907757913E-008)
  0.10249000000000000        1.2500000000000000     
   (9.65118575808404997E-005,2.53814355986274460E-007)   (9.68409811990973826E-005,2.55550346372337863E-007)
   (9.49860755228746311E-005,2.49955803327459462E-007)   (6.50026194584102103E-012,1.71642394901242944E-014)   (6.50026194577561964E-012,1.71642394897953394E-014) (-9.53111741126739544E-005,-2.51671472208445301E-007)
  0.15248500000000001        1.2500000000000000     
   (3.18141741211993450E-004,9.25940673500643003E-007)   (3.19232331236952982E-004,9.32398218842420064E-007)
   (3.07091462526542028E-004,8.97959576890076752E-007)   (2.10163758025492290E-011,6.16730737958254106E-014)   (2.10163758002809964E-011,6.16730737841776963E-014) (-3.08152790123145527E-004,-9.04268510553377297E-007)
  0.20247999999999999        1.2500000000000000     
   (7.45783969204212951E-004,2.55768901991961580E-006)   (7.48359638335049189E-004,2.57638813385952674E-006)
   (7.00578440939159954E-004,2.44275955498846221E-006)   (4.79484595083381284E-011,1.67837542576906370E-013)   (4.79484594793321548E-011,1.67837542429525948E-013) (-7.03033755673776635E-004,-2.46083496981759974E-006)
  0.25247500000000000        1.2500000000000000     
   (1.44791657844705766E-003,6.13479707120209632E-006)   (1.45296636781590814E-003,6.18349015120385004E-006)
   (1.31323337673519124E-003,5.78895191740102429E-006)   (8.98870878373508930E-011,3.98021720217161111E-013)   (8.98870876298156588E-011,3.98021719154541592E-013) (-1.31792206848899704E-003,-5.83567722809167423E-006)
  0.30247000000000002        1.2500000000000000     
   (2.49354725132748273E-003,1.33712616326591322E-005)   (2.50235050176154375E-003,1.34900718117251163E-005)
   (2.16584546203221545E-003,1.25121770337685751E-005)   (1.48262553150617111E-010,8.61152813809039400E-013)   (1.48262552117312525E-010,8.61152808463343494E-013) (-2.17376245091824077E-003,-1.26256520819219981E-005)
  0.35246499999999997        1.2500000000000000     
   (3.95208460759673749E-003,2.69268071708403827E-005)   (3.96624188896705851E-003,2.72001432689046681E-005)
   (3.25960575715149260E-003,2.50420390589232525E-005)   (2.23167303122914377E-010,1.72582430666891313E-012)   (2.23167298868365051E-010,1.72582428566574846E-012) (-3.27187067686713186E-003,-2.53019625932847618E-005)
  0.40245999999999998        1.2500000000000000     
   (5.89312120136196299E-003,5.05404284243972368E-005)   (5.91458754000554268E-003,5.11327511139669400E-005)
   (4.57449613184293582E-003,4.67264324557646997E-005)   (3.13245684415936805E-010,3.22554062137891586E-012)   (3.13245671616000129E-010,3.22554055228133457E-012) (-4.59231509966138724E-003,-4.72862813582033043E-005)
  0.45245499999999994        1.2500000000000000     
   (8.38617550349317169E-003,8.90441211311074874E-005)   (8.41729317005054586E-003,9.02533740340589520E-005)
   (6.06880347226834878E-003,8.17145765332011277E-005)   (4.15660315115884640E-010,5.65177276651181854E-012)   (4.15660279682482323E-010,5.65177256127171891E-012) (-6.09342227367465957E-003,-8.28473377311151433E-005)
  0.50244999999999995        1.2500000000000000     
   (1.15004184160378692E-002,1.48244432880114931E-004)   (1.15439722393560935E-002,1.50575866259281660E-004)
   (7.67989207679052252E-003,1.34613891656753160E-004)   (5.26143396854128891E-010,9.33163640887549565E-012)   (5.26143402099900197E-010,9.33163644826911445E-012) (-7.71250080703255597E-003,-1.36770621433737321E-004)
  0.55244499999999985        1.2500000000000000     
   (1.53046129360055998E-002,2.34689816358715303E-004)   (1.53637802057430550E-002,2.38949878106751936E-004)
   (9.32613382971869687E-003,2.09904301547733250E-004)   (6.39127860914965698E-010,1.45888522940106902E-011)   (6.39127874370883948E-010,1.45888524332134485E-011) (-9.36783858451049542E-003,-2.13781304254830442E-004)
  0.60243999999999998        1.2500000000000000     
   (1.98669804820523800E-002,3.55370503965166834E-004)   (1.99453635660736366E-002,3.62778076598346008E-004)
