   31.557105263157897     
   243.16000000000000     
   1.0349027919531295        1.7696383779528649E-005
         501           1
 
   0.0000000000000000        0.0000000000000000     
   2.5000000000000001E-003   1.2500000000000000     
   (1.43558105674620779E-011,7.24765717573994249E-015)   (1.43558105674620779E-011,7.24765717573994249E-015)
 (-1.43558095002496701E-011,-7.24765663143823832E-015)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)   (1.43558095002496701E-011,7.24765663143823832E-015)
   5.2495000000000000E-002   1.2500000000000000     
   (1.32911466100310341E-007,6.71040170867829740E-011)   (1.32911466100310341E-007,6.71040170867829740E-011)
 (-1.32907109619678199E-007,-6.71017951853582395E-011)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)   (1.32907109619678199E-007,6.71017951853582395E-011)
  0.10249000000000000        1.2500000000000000     
   (9.89135595340831272E-007,4.99507850714278629E-010)   (9.89135595340831272E-007,4.99507850714278629E-010)
 (-9.89012017650481332E-007,-4.99444823266304680E-010)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)   (9.89012017650481332E-007,4.99444823266304680E-010)
  0.15248500000000001        1.2500000000000000     
   (3.25759542605116638E-006,1.64606458359354858E-009)   (3.25759542605116638E-006,1.64606458359354858E-009)
 (-3.25669458951400865E-006,-1.64560513516775803E-009)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)   (3.25669458951400865E-006,1.64560513516775803E-009)
  0.20247999999999999        1.2500000000000000     
   (7.62725614986416067E-006,3.85853200484850978E-009)   (7.62725614986416067E-006,3.85853200484850978E-009)
 (-7.62353745864081523E-006,-3.85663537561546147E-009)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)   (7.62353745864081523E-006,3.85663537561546147E-009)
  0.25247500000000000        1.2500000000000000     
   (1.47871680323366453E-005,7.49481245437389538E-009)   (1.47871680323366453E-005,7.49481245437389538E-009)
 (-1.47759599398538602E-005,-7.48909600771599461E-009)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)   (1.47759599398538602E-005,7.48909600771599461E-009)
  0.30247000000000002        1.2500000000000000     
   (2.54264883781033935E-005,1.29234353977330842E-008)   (2.54264883781033935E-005,1.29234353977330842E-008)
 (-2.53988315102178882E-005,-1.29093295187588672E-008)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)   (2.53988315102178882E-005,1.29093295187588672E-008)
  0.35246499999999997        1.2500000000000000     
   (4.02345208006658119E-005,2.05292805828602633E-008)   (4.02345208006658119E-005,2.05292805828602633E-008)
 (-4.01751032950465689E-005,-2.04989755291975542E-008)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)   (4.01751032950465689E-005,2.04989755291975542E-008)
  0.40245999999999998        1.2500000000000000     
   (5.99007217329543989E-005,3.07205345890812968E-008)   (5.99007217329543989E-005,3.07205345890812968E-008)
 (-5.97854076722070861E-005,-3.06617196837652886E-008)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)   (5.97854076722070861E-005,3.06617196837652886E-008)
  0.45245499999999994        1.2500000000000000     
   (8.51147564246927245E-005,4.39368579665970301E-008)   (8.51147564246927245E-005,4.39368579665970301E-008)
 (-8.49077083632554009E-005,-4.38312535725164199E-008)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)   (8.49077083632554009E-005,4.38312535725164199E-008)
  0.50244999999999995        1.2500000000000000     
   (1.16566477927310339E-004,6.06587781661466933E-008)   (1.16566477927310339E-004,6.06587781661466933E-008)
 (-1.16216874823610227E-004,-6.04804608838631018E-008)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)   (1.16216874823610227E-004,6.04804608838631018E-008)
  0.55244499999999985        1.2500000000000000     
   (1.54946033783143455E-004,8.14182534578875348E-008)   (1.54946033783143455E-004,8.14182534578875348E-008)
 (-1.54384385547395501E-004,-8.11317750665616416E-008)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)   (1.54384385547395501E-004,8.11317750665616416E-008)
  0.60243999999999998        1.2500000000000000     
   (2.00943771242644676E-004,1.06810391586775408E-007)   (2.00943771242644676E-004,1.06810391586775408E-007)
 (-2.00077831692503958E-004,-1.06368692058293719E-007)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)   (2.00077831692503958E-004,1.06368692058293719E-007)
  0.65243499999999988        1.2500000000000000     
   (2.55250381397215944E-004,1.37506371338563711E-007)   (2.55250381397215944E-004,1.37506371338563711E-007)
