   8.5655000000000001     
   243.16000000000000     
   1.0348951153463419        4.4036365072500215E-005
         501           1
 
   61.000000000000000        61.000000000000000     
   2.5000000000000001E-003   1.2500000000000000     
   (1.93871078026515779E-010,2.42437967271337171E-013)   (1.94814593437006761E-010,2.44801687867421260E-013)
   (1.93870798290730288E-010,2.42437613965258730E-013)   (9.44478359606013667E-018,1.18682019565713419E-020)   (9.44478359606013667E-018,1.18682019565713419E-020) (-1.94814312667986762E-010,-2.44801331956395621E-013)
   5.2495000000000000E-002   1.2500000000000000     
   (1.79498050358851285E-006,2.24628469405030127E-009)   (1.80371742966388685E-006,2.26818869083568564E-009)
   (1.79383882562701677E-006,2.24484274416727273E-009)   (8.73904251746075705E-014,1.09893626838319530E-016)   (8.73904251746075201E-014,1.09893626838319370E-016) (-1.80257153442337839E-006,-2.26673610824968480E-009)
  0.10249000000000000        1.2500000000000000     
   (1.33593902046341380E-005,1.67950318859485285E-008)   (1.34244414780667780E-005,1.69588742570091946E-008)
   (1.33270236641214009E-005,1.67541516256055721E-008)   (6.49255863234024785E-013,8.20188679888165421E-016)   (6.49255863233997017E-013,8.20188679888095311E-016) (-1.33919553429325933E-005,-1.69176924646993619E-008)
  0.15248500000000001        1.2500000000000000     
   (4.40030541685855906E-005,5.59819493035299403E-008)   (4.42174573278487207E-005,5.65285628571894766E-008)
   (4.37673385250137017E-005,5.56842150346167641E-008)   (2.13224254729377570E-012,2.72603821515643895E-015)   (2.13224254729276717E-012,2.72603821515384754E-015) (-4.39808703064150045E-005,-5.62286313809761612E-008)
  0.20247999999999999        1.2500000000000000     
   (1.03045649235205825E-004,1.34060441243388679E-007)   (1.03548197572413201E-004,1.35371743005195724E-007)
   (1.02073894691880935E-004,1.32832875435150186E-007)   (4.97286258515344709E-012,6.50308292674528318E-015)   (4.97286258514046181E-012,6.50308292671171636E-015) (-1.02572848325843484E-004,-1.34135111047586161E-007)
  0.25247500000000000        1.2500000000000000     
   (1.99821446755857010E-004,2.69291218819957455E-007)   (2.00797109976957698E-004,2.71934138909617832E-007)
   (1.96897561903730572E-004,2.65596813640380283E-007)   (9.59265747965092417E-012,1.30034496074735313E-014)   (9.59265747955786635E-012,1.30034496072294120E-014) (-1.97862399830096017E-004,-2.68212417228288373E-007)
  0.30247000000000002        1.2500000000000000     
   (3.43683363466039664E-004,4.86758886400840748E-007)   (3.45363890253241629E-004,4.91564365087079322E-007)
   (3.36483373734813168E-004,4.77657689226417768E-007)   (1.63934603383287143E-011,2.33876389956078096E-014)   (1.63934603378550952E-011,2.33876389943848480E-014) (-3.38137216256841175E-004,-4.82395757211525189E-007)
  0.35246499999999997        1.2500000000000000     
   (5.44006624963198362E-004,8.21832641915081714E-007)   (5.46671218457152417E-004,8.30023358714211109E-007)
   (5.28576050930974284E-004,8.02312929406155077E-007)   (2.57528041425267268E-011,3.92883281884409918E-014)   (2.57528041405994509E-011,3.92883281835761119E-014) (-5.31183386206202828E-004,-8.10358698912584192E-007)
  0.40245999999999998        1.2500000000000000     
   (8.10191568987951734E-004,1.32416878493163249E-006)   (8.14167877337922661E-004,1.33755163522476412E-006)
   (7.80328976684486922E-004,1.28634520934505079E-006)   (3.80195094346662375E-011,6.30010627079489641E-014)   (3.80195094283793998E-011,6.30010626918608591E-014) (-7.84194314988224191E-004,-1.29944614482501506E-006)
  0.45245499999999994        1.2500000000000000     
   (1.15166582148525684E-003,2.06213522498055033E-006)   (1.15733102208612909E-003,2.08337867413915753E-006)
   (1.09821763194161977E-003,1.99430378116376637E-006)   (5.35094781245258248E-011,9.76958843309420299E-014)   (5.35094781066730118E-011,9.76958842851083909E-014) (-1.10368389586951599E-003,-2.01503892738202673E-006)
  0.50244999999999995        1.2500000000000000     
   (1.57788589132689685E-003,3.12752453900981784E-006)   (1.58566768489587897E-003,3.16054216499822168E-006)
   (1.48795826081696931E-003,3.01305257881388233E-006)   (7.25017319990046431E-011,1.47642914132829669E-013)   (7.25017319530828971E-011,1.47642914015211291E-013) (-1.49540473057430449E-003,-3.04520587241888849E-006)
  0.55244499999999985        1.2500000000000000     
   (2.09833728454012847E-003,4.64041286974094595E-006)   (2.10871553493823406E-003,4.69087977451606410E-006)
   (1.95443155898832521E-003,4.45642501572962996E-006)   (9.52347304558543828E-011,2.18444377527101700E-013)   (9.52347303491707408E-011,2.18444377251708061E-013) (-1.96427212028344638E-003,-4.50548809529551795E-006)
  0.60243999999999998        1.2500000000000000     
   (2.72253469238208264E-003,6.75401099329214548E-006)   (2.73604294511801700E-003,6.83004375124697938E-006)
