   99.930833333333339     
   243.16000000000000     
   1.0348945062193351        7.3510512549595683E-006
         501           1
 
   76.000000000000000        76.000000000000000     
   2.5000000000000001E-003   1.2500000000000000     
   (1.42273468034056602E-012,2.96665426462476610E-016)   (1.43126599639942045E-012,3.00233258538510192E-016)
   (1.42273466420941761E-012,2.96665423064832427E-016)   (3.46254440021689036E-020,7.26329690382905857E-024)   (3.46254440021691985E-020,7.26329690382905416E-024) (-1.43126598019584365E-012,-3.00233255110396257E-016)
   5.2495000000000000E-002   1.2500000000000000     
   (1.31721845430703363E-008,2.74664200033706483E-012)   (1.32511701559681457E-008,2.77967436969297611E-012)
   (1.31721186933270565E-008,2.74662813064568914E-012)   (3.20573092683999475E-016,6.72460442716168286E-020)   (3.20573092683999327E-016,6.72460442716167925E-020) (-1.32511040105581870E-008,-2.77966037562440232E-012)
  0.10249000000000000        1.2500000000000000     
   (9.80276837440247387E-008,2.04409311703658059E-011)   (9.86154979312091786E-008,2.06867644052407465E-011)
   (9.80258157746033826E-008,2.04405377267119557E-011)   (2.38567850505431112E-015,5.00448336954486377E-019)   (2.38567850505430994E-015,5.00448336954486088E-019) (-9.86136215744657656E-008,-2.06863674333472130E-011)
  0.15248500000000001        1.2500000000000000     
   (3.22839061697410539E-007,6.73221659185028087E-011)   (3.24774942435759008E-007,6.81318175089372800E-011)
   (3.22825444288621371E-007,6.73192977319490741E-011)   (7.85668316971502077E-015,1.64818728645882036E-018)   (7.85668316971501603E-015,1.64818728645881940E-018) (-3.24761263883538036E-007,-6.81289236016075485E-011)
  0.20247999999999999        1.2500000000000000     
   (7.55878023157757601E-007,1.57638440538073326E-010)   (7.60410591251528701E-007,1.59534302052561492E-010)
   (7.55821806535920222E-007,1.57626599825797991E-010)   (1.83946247721270307E-014,3.85919397581760924E-018)   (1.83946247721270150E-014,3.85919397581760693E-018) (-7.60354122211987332E-007,-1.59522355157101352E-010)
  0.25247500000000000        1.2500000000000000     
   (1.46541709180878182E-006,3.05657013449955398E-010)   (1.47420444738948051E-006,3.09333063716235088E-010)
   (1.46524764247620318E-006,3.05621322907986595E-010)   (3.56601046834035906E-014,7.48257135245618927E-018)   (3.56601046834035780E-014,7.48257135245618464E-018) (-1.47403423720768442E-006,-3.09297053111827819E-010)
  0.30247000000000002        1.2500000000000000     
   (2.51972980277328062E-006,5.25678281899032129E-010)   (2.53483961083876354E-006,5.32000560407361467E-010)
   (2.51931163359483558E-006,5.25590204281148124E-010)   (6.13131420841542632E-014,1.28681068359848536E-017)   (6.13131420841542380E-014,1.28681068359848475E-017) (-2.53441956402682263E-006,-5.31911692929141528E-010)
  0.35246499999999997        1.2500000000000000     
   (3.98709119180275709E-006,8.32053733710987523E-010)   (4.01100046764531492E-006,8.42060817968370712E-010)
   (3.98619270511758189E-006,8.31864488226609453E-010)   (9.70130283111702283E-014,2.03666749481034413E-017)   (9.70130283111701652E-014,2.03666749481034290E-017) (-4.01009794657260095E-006,-8.41869875354861487E-010)
  0.40245999999999998        1.2500000000000000     
   (5.93577801891696788E-006,1.23920745872831896E-009)   (5.97137295255724206E-006,1.25411160749328960E-009)
   (5.93403406457475438E-006,1.23884013469927406E-009)   (1.44418183031860196E-013,3.03307420829262627E-017)   (1.44418183031860145E-013,3.03307420829262380E-017) (-5.96962116745542061E-006,-1.25374098930519839E-009)
  0.45245499999999994        1.2500000000000000     
   (8.43406868643950038E-006,1.76166229804179135E-009)   (8.48464642145201636E-006,1.78285039773530772E-009)
   (8.43093693743715421E-006,1.76100266621799119E-009)   (2.05186049421760336E-013,4.31149626168357046E-017)   (2.05186049421760235E-013,4.31149626168356861E-017) (-8.48150060999495286E-006,-1.78218485030758798E-009)
  0.50244999999999995        1.2500000000000000     
   (1.15502441357370691E-005,2.41406883719528896E-009)   (1.16195090813339661E-005,2.44310414428153091E-009)
   (1.15449552841746705E-005,2.41295485940643521E-009)   (2.80972833558176446E-013,5.90768678469163249E-017)   (2.80972833558176244E-013,5.90768678469162386E-017) (-1.16141964811152888E-005,-2.44198017620527405E-009)
  0.55244499999999985        1.2500000000000000     
   (1.53525865143483679E-005,3.21123915278592683E-009)   (1.54446571504379782E-005,3.24986342181216756E-009)
   (1.53440882907695293E-005,3.20944919061037805E-009)   (3.73433576042584976E-013,7.85776600283387450E-017)   (3.73433576042584522E-013,7.85776600283386217E-017) (-1.54361207665035302E-005,-3.24805740683074216E-009)
  0.60243999999999998        1.2500000000000000     
   (1.99093831154055621E-005,4.16818448473922883E-009)   (2.00287823193178054E-005,4.21831974047316928E-009)
