   3.1892819148936171     
   243.16000000000000     
   1.0348740785572970        8.7965813797814607E-005
         501           1
 
   5.0000000000000000        5.0000000000000000     
   2.5000000000000001E-003   1.2500000000000000     
   (1.40429918974596426E-009,3.52693885930579528E-012)   (1.40436668982157189E-009,3.52727686427600534E-012)
   (1.40428892535405252E-009,3.52691281690495322E-012)   (1.39901241212376279E-016,3.51382853387102697E-019)   (1.39901241212376254E-016,3.51382853387102601E-019) (-1.40435642502286864E-009,-3.52725081981929513E-012)
   5.2495000000000000E-002   1.2500000000000000     
   (1.30042872180273068E-005,3.28889263671904110E-008)   (1.30049130885203423E-005,3.28920825555136948E-008)
   (1.29624317920170473E-005,3.27827264078976974E-008)   (1.29137279540849852E-012,3.26611158635533428E-015)   (1.29137279540849650E-012,3.26611158635532165E-015) (-1.29630560020244368E-005,-3.27858742030959810E-008)
  0.10249000000000000        1.2500000000000000     
   (9.68354440715933168E-005,2.55542893615629935E-007)   (9.68401214733668211E-005,2.55567566568793758E-007)
   (9.56517410861870151E-005,2.52538669760448974E-007)   (9.52923808276511801E-012,2.51602082891584895E-014)   (9.52923808276423751E-012,2.51602082891541350E-014) (-9.56563713906685242E-005,-2.52563104149013652E-007)
  0.15248500000000001        1.2500000000000000     
   (3.19211058766123441E-004,9.32781492833178113E-007)   (3.19226571552064557E-004,9.32873389573240479E-007)
   (3.10625059879188062E-004,9.10967992157320891E-007)   (3.09458231740478219E-011,9.07591709404359661E-014)   (3.09458231740176298E-011,9.07591709402832805E-014) (-3.10640229352467730E-004,-9.11058127957205453E-007)
  0.20247999999999999        1.2500000000000000     
   (7.48301565338516713E-004,2.58070506986453581E-006)   (7.48338248685950173E-004,2.58097188133694325E-006)
   (7.13102071276805710E-004,2.49099747281071863E-006)   (7.10423978649889722E-011,2.48177857580369042E-013)   (7.10423978646090378E-011,2.48177857578446291E-013) (-7.13137337290486745E-004,-2.49125669693608683E-006)
  0.25247500000000000        1.2500000000000000     
   (1.45283653050049910E-003,6.20858748203411368E-006)   (1.45290857319520066E-003,6.20928559548263804E-006)
   (1.34767815590509498E-003,5.93851659425362351E-006)   (1.34261838804050185E-010,5.91659510862248370E-013)   (1.34261838801335223E-010,5.91659510848526078E-013) (-1.34774592517337500E-003,-5.93918937513170677E-006)
  0.30247000000000002        1.2500000000000000     
   (2.50209337044594426E-003,1.35917674503380571E-005)   (2.50221923656693138E-003,1.35934833728561002E-005)
   (2.24537842807274622E-003,1.29218299872901191E-005)   (2.23695153796369402E-010,1.28743107293408321E-012)   (2.23695153782842492E-010,1.28743107286622855E-012) (-2.24549374167727894E-003,-1.29234705498780011E-005)
  0.35246499999999997        1.2500000000000000     
   (3.96576204859444385E-003,2.75232767428750631E-005)   (3.96596502003537452E-003,2.75272636035652006E-005)
   (3.42116524325872425E-003,2.60599279509912404E-005)   (3.40833180151359629E-010,2.59645710576954960E-012)   (3.40833180093873885E-010,2.59645710550843922E-012) (-3.42134551798796817E-003,-2.60637019471007169E-005)
  0.40245999999999998        1.2500000000000000     
   (5.91369936684082130E-003,5.19907638535166143E-005)   (5.91400816077754330E-003,5.19995092212131103E-005)
   (4.87200990566147903E-003,4.90541601772913338E-005)   (4.85374483492239450E-010,4.88757620295769362E-012)   (4.85374483325850725E-010,4.88757620213006388E-012) (-4.87227458682365239E-003,-4.90623271238342179E-005)
  0.45245499999999994        1.2500000000000000     
   (8.41561392673930916E-003,9.22330399851197034E-005)   (8.41606335633189248E-003,9.22511485384376617E-005)
   (6.57564202989838198E-003,8.66595786525126231E-005)   (6.55100760258364505E-010,8.63466994160651550E-012)   (6.55100759798584330E-010,8.63466993921160467E-012) (-6.57601212447800430E-003,-8.66761892990814504E-005)
  0.50244999999999995        1.2500000000000000     
   (1.15407810051259847E-002,1.54647915219728479E-004)   (1.15414128696690859E-002,1.54683382345394626E-004)
   (8.49003922133121335E-003,1.44443755188923019E-004)   (8.45825992776240842E-010,1.43926623979811449E-011)   (8.45825993016273352E-010,1.43926624013306238E-011) (-8.49053578140131389E-003,-1.44475562199597777E-004)
  0.55244499999999985        1.2500000000000000     
   (1.53576308064675461E-002,2.46547124756050986E-004)   (1.53584936443872128E-002,2.46613055513795294E-004)
   (1.05539351643716799E-002,2.28303116328602309E-004)   (1.05144699227623453E-009,2.27493616175141266E-011)   (1.05144699284749518E-009,2.27493616272162217E-011) (-1.05545796481921351E-002,-2.28360660600648472E-004)
  0.60243999999999998        1.2500000000000000     
   (1.99337545634151909E-002,3.75787154823973722E-004)   (1.99349040967611649E-002,3.75903919443309434E-004)
