   99.930833333333339     
   243.16000000000000     
   1.7645502664406869        1.9259504124427822E-004
         501           1
 
   90.000000000000000        90.000000000000000     
   2.5000000000000001E-003   1.2500000000000000     
 (  2.3733446395182469E-011,  4.1620778757791551E-015) (  2.6537190906408837E-011,  5.2035353269639254E-015)
 (  2.3733446038748246E-011,  4.1620777855311278E-015) ( -1.6249342767592553E-034, -3.1862464060290305E-038) (  1.6249342767592553E-034,  3.1862464060290274E-038) ( -2.6537190517260190E-011, -5.2035352216042420E-015)
   5.2495000000000000E-002   1.2500000000000000     
 (  2.1973353426078091E-007,  3.8536350479963211E-011) (  2.4569183207623598E-007,  4.8179157312720839E-011)
 (  2.1973207924074783E-007,  3.8535982072735598E-011) ( -1.5044213664193472E-030, -2.9501087132684378E-034) (  1.5044213664193472E-030,  2.9501087132684378E-034) ( -2.4569024351107237E-007, -4.8178727217224877E-011)
  0.10249000000000000        1.2500000000000000     
 (  1.6352791475098313E-006,  2.8689222811327887E-010) (  1.8284658069195125E-006,  3.5868099645571115E-010)
 (  1.6352378725688029E-006,  2.8688177734882101E-010) ( -1.1195919410915918E-029, -2.1962484524033048E-033) (  1.1195919410915918E-029,  2.1962484524033048E-033) ( -1.8284207436465929E-006, -3.5866879574254874E-010)
  0.15248500000000001        1.2500000000000000     
 (  5.3856346917435411E-006,  9.4571903033399127E-010) (  6.0218889655529384E-006,  1.1823697053329701E-009)
 (  5.3853337972995215E-006,  9.4564284352783400E-010) ( -3.6871943876988118E-029, -7.2396404717079738E-033) (  3.6871943876988118E-029,  7.2396404717079738E-033) ( -6.0215604538605402E-006, -1.1822807611408757E-009)
  0.20247999999999999        1.2500000000000000     
 (  1.2609943246725734E-005,  2.2181949579590521E-009) (  1.4099714463301475E-005,  2.7732756915047005E-009)
 (  1.2608701055164186E-005,  2.2178804296557910E-009) ( -8.6329694156116501E-029, -1.6980235680194024E-032) (  8.6329694156116501E-029,  1.6980235680194021E-032) ( -1.4098358256994028E-005, -2.7729084950255451E-009)
  0.25247500000000000        1.2500000000000000     
 (  2.4447603573654732E-005,  4.3128337748730268E-009) (  2.7336012236693281E-005,  5.3921111816648571E-009)
 (  2.4443859287714361E-005,  4.3118856897602071E-009) ( -1.6736624138096197E-028, -3.3013600676781922E-032) (  1.6736624138096193E-028,  3.3013600676781906E-032) ( -2.7331924274607950E-005, -5.3910043353888569E-009)
  0.30247000000000002        1.2500000000000000     
 (  4.2038347431786797E-005,  7.4473765173565684E-009) (  4.7005266916119213E-005,  9.3111405292763008E-009)
 (  4.2029107097769686E-005,  7.4450367388604612E-009) ( -2.8777844998150102E-028, -5.7005511901617165E-032) (  2.8777844998150084E-028,  5.7005511901617078E-032) ( -4.6995178422745701E-005, -9.3084089348925869E-009)
  0.35246499999999997        1.2500000000000000     
 (  6.6522329314171416E-005,  1.1853773229522386E-008) (  7.4382499200125105E-005,  1.4820412111147101E-008)
 (  6.6502474996310522E-005,  1.1848745724922422E-008) ( -4.5536304294337635E-028, -9.0729984922677584E-032) (  4.5536304294337572E-028,  9.0729984922677332E-032) ( -7.4360822429949487E-005, -1.4814542684780388E-008)
  0.40245999999999998        1.2500000000000000     
 (  9.9040196524826510E-005,  1.7784251134816232E-008) (  1.1074333689193970E-004,  2.2235352338229662E-008)
 (  9.9001658694725686E-005,  1.7774492323552026E-008) ( -6.7791635885950549E-028, -1.3611564421251380E-031) (  6.7791635885950370E-028,  1.3611564421251294E-031) ( -1.1070126151734085E-004, -2.2223959233169123E-008)
  0.45245499999999994        1.2500000000000000     
 (  1.4073320129923185E-004,  2.5518473865505862E-008) (  1.5736415984940491E-004,  3.1905721351612232E-008)
 (  1.4066399444816983E-004,  2.5500948275425423E-008) ( -9.6323456166029531E-028, -1.9530043079123907E-031) (  9.6323456166029082E-028,  1.9530043079123675E-031) ( -1.5728859999671564E-004, -3.1885260669305961E-008)
  0.50244999999999995        1.2500000000000000     
 (  1.9274324377167583E-004,  3.5371781426707743E-008) (  2.1552217984812343E-004,  4.4225933309215376E-008)
 (  1.9262636524925035E-004,  3.5342182631635180E-008) ( -1.3191134519038400E-027, -2.7069466547857535E-031) (  1.3191134519038273E-027,  2.7069466547856939E-031) ( -2.1539457179014146E-004, -4.4191377263160662E-008)
  0.55244499999999985        1.2500000000000000     
 (  2.5621298816706209E-004,  4.7704542930671755E-008) (  2.8649550691536103E-004,  5.9646748852322288E-008)
