   31.557105263157897     
   243.16000000000000     
   1.0705463513684064        3.6110392961402240E-005
         501           1
 
   90.000000000000000        90.000000000000000     
   2.5000000000000001E-003   1.2500000000000000     
 (  2.8516473287735960E-011,  1.4271713830895844E-014) (  2.8882104871677751E-011,  1.4640035777214931E-014)
 (  2.8516469940863291E-011,  1.4271712120024252E-014) ( -1.7685186616829031E-034, -8.9644354584447942E-038) (  1.7685186616829031E-034,  8.9644354584447994E-038) ( -2.8882101492760250E-011, -1.4640034033673223E-014)
   5.2495000000000000E-002   1.2500000000000000     
 (  2.6401677189484234E-007,  1.3214299863107830E-010) (  2.6740196668160329E-007,  1.3555336146914531E-010)
 (  2.6400310966660205E-007,  1.3213601469461074E-010) ( -1.6372824456994500E-030, -8.2998352383911701E-034) (  1.6372824456994500E-030,  8.2998352383911701E-034) ( -2.6738817364378824E-007, -1.3554624416978034E-010)
  0.10249000000000000        1.2500000000000000     
 (  1.9648417816415958E-006,  9.8387833359564010E-010) (  1.9900354817022236E-006,  1.0092713223953733E-009)
 (  1.9644542397492889E-006,  9.8368022700847593E-010) ( -1.2183116504693351E-029, -6.1788293490711727E-033) (  1.2183116504693350E-029,  6.1788293490711713E-033) ( -1.9896442292096011E-006, -1.0090694327529665E-009)
  0.15248500000000001        1.2500000000000000     
 (  6.4710285689848781E-006,  3.2442494778054261E-009) (  6.5540063199133675E-006,  3.3279848440503469E-009)
 (  6.4682036053406805E-006,  3.2428053832912230E-009) ( -4.0114683197887848E-029, -2.0369463894619233E-032) (  4.0114683197887826E-029,  2.0369463894619206E-032) ( -6.5511543071810774E-006, -3.3265131719910860E-009)
  0.20247999999999999        1.2500000000000000     
 (  1.5151325912736851E-005,  7.6137728984245716E-009) (  1.5345626460326857E-005,  7.8103016007911655E-009)
 (  1.5139664782724566E-005,  7.6078117899985433E-009) ( -9.3894559116846597E-029, -4.7788944303385630E-032) (  9.3894559116846328E-029,  4.7788944303385307E-032) ( -1.5333853669582290E-005, -7.8042266489223841E-009)
  0.25247500000000000        1.2500000000000000     
 (  2.9374817296321516E-005,  1.4817202111235963E-008) (  2.9751553335256013E-005,  1.5199707889109514E-008)
 (  2.9339672479721768E-005,  1.4799236060113819E-008) ( -1.8196384188845508E-028, -9.2964797267287071E-032) (  1.8196384188845304E-028,  9.2964797267284652E-032) ( -2.9716071968146691E-005, -1.5181398706890112E-008)
  0.30247000000000002        1.2500000000000000     
 (  5.0511023592830372E-005,  2.5621201833892726E-008) (  5.1158910281070458E-005,  2.6282700822670971E-008)
 (  5.0424306039198144E-005,  2.5576871102635323E-008) ( -3.1273517564701398E-028, -1.6067216617582225E-031) (  3.1273517564700299E-028,  1.6067216617581080E-031) ( -5.1071362249844758E-005, -2.6237523360264371E-008)
  0.35246499999999997        1.2500000000000000     
 (  7.9930015849057122E-005,  4.0856895257568806E-008) (  8.0955388491154692E-005,  4.1911939442195551E-008)
 (  7.9743726394865142E-005,  4.0761660655133149E-008) ( -4.9458568316858034E-028, -2.5607169877558499E-031) (  4.9458568316853406E-028,  2.5607169877553739E-031) ( -8.0767314818477596E-005, -4.1814885665111691E-008)
  0.40245999999999998        1.2500000000000000     
 (  1.1900251247590488E-004,  6.1447251527191617E-008) (  1.2052935624591521E-004,  6.3034356480764123E-008)
 (  1.1864100158031516E-004,  6.1262435682745176E-008) ( -7.3584996757991643E-028, -3.8487781990410456E-031) (  7.3584996757976836E-028,  3.8487781990394560E-031) ( -1.2016438256126146E-004, -6.2846009904985603E-008)
  0.45245499999999994        1.2500000000000000     
 (  1.6909999978559047E-004,  8.8439266463885919E-008) (  1.7127001010366051E-004,  9.0724192785226350E-008)
 (  1.6845096057263516E-004,  8.8107445678768485E-008) ( -1.0448134006949129E-027, -5.5355715746453812E-031) (  1.0448134006944789E-027,  5.5355715746408533E-031) ( -1.7061475325117102E-004, -9.0386032127189193E-008)
  0.50244999999999995        1.2500000000000000     
 (  2.3159482506896427E-004,  1.2304082228313960E-007) (  2.3456739783599820E-004,  1.2622086200138234E-007)
 (  2.3049902549799779E-004,  1.2248057047555759E-007) ( -1.4297046611129142E-027, -7.6955655467644343E-031) (  1.4297046611117987E-027,  7.6955655467531451E-031) ( -2.3346109943800481E-004, -1.2564990443439617E-007)
  0.55244499999999985        1.2500000000000000     
 (  3.0786026027793736E-004,  1.6666219474985334E-007) (  3.1181261100018639E-004,  1.7097162130089448E-007)
 (  3.0610002105111307E-004,  1.6576218071155330E-007) ( -1.8986893500045067E-027, -1.0415605203694008E-030) (  1.8986893500019952E-027,  1.0415605203667186E-030) ( -3.1003550449920978E-004, -1.7005440650312437E-007)
  0.60243999999999998        1.2500000000000000     
 (  3.9927073840912667E-004,  2.2096211930847336E-007) (  4.0439783170957081E-004,  2.2667886543789901E-007)
 (  3.9655716368147172E-004,  2.1957455738614386E-007) ( -2.4598627574027107E-027, -1.3797769915823327E-030) (  2.4598627573971719E-027,  1.3797769915764991E-030) ( -4.0165825037094419E-004, -2.2526478055470223E-007)
  0.65243499999999988        1.2500000000000000     
 (  5.0720169626893290E-004,  2.8789831220216442E-007) (  5.1371649349560029E-004,  2.9535210980393843E-007)
 (  5.0316066640000690E-004,  2.8583176555991515E-007) ( -3.1212433826351024E-027, -1.7962518088993163E-030) (  3.1212433826235315E-027,  1.7962518088873790E-030) ( -5.0963672829890897E-004, -2.9324605435758575E-007)
  0.70242999999999989        1.2500000000000000     
 (  6.3302999117114376E-004,  3.6978227584345245E-007) (  6.4116327635243859E-004,  3.7936434297911048E-007)
 (  6.2718692461626361E-004,  3.6679380954202826E-007) ( -3.8907654766034560E-027, -2.3052099370336661E-030) (  3.8907654765814441E-027,  2.3052099370103443E-030) ( -6.3526419052066171E-004, -3.7631873114305902E-007)
  0.75242499999999990        1.2500000000000000     
 (  7.7813362809596030E-004,  4.6933843824943102E-007) (  7.8813431663665539E-004,  4.8151282741387460E-007)
 (  7.6989702478604471E-004,  4.6512511695135342E-007) ( -4.7762729895476878E-027, -2.9234239008659080E-030) (  4.7762729895063783E-027,  2.9234239008220460E-030) ( -7.7981873111654333E-004, -4.7721892189408371E-007)
  0.80241999999999991        1.2500000000000000     
 (  9.4389233448549973E-004,  5.8976718128445400E-007) (  9.5602733492070589E-004,  6.0508433898220953E-007)
 (  9.3253610902729303E-004,  5.8395690359579597E-007) ( -5.7855130366193544E-027, -3.6706093618707824E-030) (  5.7855130365456399E-027,  3.6706093617931848E-030) ( -9.4456218899972031E-004, -5.9916290760887527E-007)
  0.85241499999999992        1.2500000000000000     
 (  1.1316870080767566E-003,  7.3481229055705465E-007) (  1.1462413463435798E-003,  7.5392392581980313E-007)
 (  1.1163316238652701E-003,  7.2695394560969347E-007) ( -6.9261269152918001E-027, -4.5698421927025206E-030) (  6.9261269155857986E-027,  4.5698421925701063E-030) ( -1.1307386518785826E-003, -7.4591520907703980E-007)
  0.90240999999999982        1.2500000000000000     
 (  1.3429003368940220E-003,  9.0883145646364059E-007) (  1.3601775225380792E-003,  9.3250853031273048E-007)
 (  1.3224927587225433E-003,  8.9838438789957372E-007) ( -8.2056482194204203E-027, -5.6480052378882690E-030) (  8.2056482192060691E-027,  5.6480052376655487E-030) ( -1.3395741176455041E-003, -9.2186149937910485E-007)
  0.95240499999999984        1.2500000000000000     
 (  1.5789167634998641E-003,  1.1168713922510477E-006) (  1.5992383468293324E-003,  1.1460237488314483E-006)
 (  1.5522092295332474E-003,  1.1031941424028904E-006) ( -9.6314906111600368E-027, -6.9362541936667058E-030) (  9.6314906108082868E-027,  6.9362541933066687E-030) ( -1.5722744684634709E-003, -1.1320846328682679E-006)
   1.0024000000000000        1.2500000000000000     
 (  1.8411223836860482E-003,  1.3647456899839898E-006) (  1.8648285812798598E-003,  1.4004446346182386E-006)
 (  1.8066500236259930E-003,  1.3470839951399782E-006) ( -1.1210946703200783E-026, -8.4705080630625712E-030) (  1.1210946702657202E-026,  8.4705080624847485E-030) ( -1.8300252607677118E-003, -1.3824446812255707E-006)
   1.0523950000000000        1.2500000000000000     
 (  2.1309051719266008E-003,  1.6591163782839727E-006) (  2.1583542478439406E-003,  1.7026194887994559E-006)
 (  2.0869624822989871E-003,  1.6365903725556432E-006) ( -1.2951174967887549E-026, -1.0291957729582879E-029) (  1.2951174967032566E-026,  1.0291957728696073E-029) ( -2.1139895564461289E-003, -1.6796619141058739E-006)
   1.1023899999999998        1.2500000000000000     
 (  2.4496546588382595E-003,  2.0075786990992206E-006) (  2.4812242474712871E-003,  2.0603582852456150E-006)
 (  2.3942708393630999E-003,  1.9791692723703257E-006) ( -1.4859202764007087E-026, -1.2447602674666080E-029) (  1.4859202762715085E-026,  1.2447602673321644E-029) ( -2.4253083923192241E-003, -2.0314043713747189E-006)
   1.1523849999999998        1.2500000000000000     
 (  2.7987630219412228E-003,  2.4187485087338829E-006) (  2.8348488918278373E-003,  2.4825225246850103E-006)
 (  2.7296762054051906E-003,  2.3832827622232864E-006) ( -1.6941910725342044E-026, -1.4990796106474911E-029) (  1.6941910723432164E-026,  1.4990796104465503E-029) ( -2.7650981986132570E-003, -2.4463767812891600E-006)
   1.2023800000000000        1.2500000000000000     
 (  3.1796237644144136E-003,  2.9023531695989770E-006) (  3.2206407513063594E-003,  2.9791193284500686E-006)
 (  3.0942541446102095E-003,  2.8584888790592485E-006) ( -1.9206031166168252E-026, -1.7981815642723093E-029) (  1.9206031163346667E-026,  1.7981815639776818E-029) ( -3.1344505197552757E-003, -2.9344136531344530E-006)
   1.2523750000000000        1.2500000000000000     
 (  3.5936331280745763E-003,  3.4693239956863083E-006) (  3.6400149291554045E-003,  3.5613983915039656E-006)
 (  3.4890550066071376E-003,  3.4155329944281855E-006) ( -2.1658143422423464E-026, -2.1488451118851429E-029) (  2.1658143418357040E-026,  2.1488451114618827E-029) ( -3.5344312191610307E-003, -3.5065751190354742E-006)
   1.3023699999999998        1.2500000000000000     
 (  4.0421886483772915E-003,  4.1318921875791934E-006) (  4.0943884807316169E-003,  4.2419499546274250E-006)
 (  3.9151014235019538E-003,  4.0664425562996052E-006) ( -2.4304663694944414E-026, -2.5586598003761085E-029) (  2.4304663689205100E-026,  2.5586597997719706E-029) ( -3.9660787902947659E-003, -4.1752436920264333E-006)
   1.3523649999999998        1.2500000000000000     
 (  4.5266909932308690E-003,  4.9036865506802122E-006) (  4.5851804421429198E-003,  5.0348076601796522E-006)
